Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A1031,Data Analytics Course,113.0,5065.0,212.37,11.0,5.0,0.04424778761061947,1111.0,,Hyderabad,Desktop,online data analytic
A1032,Data Analytics Course,,3872.0,244.38,20.0,4.0,,1041.0,,Hyderabad,Tablet,data analitics online
A1033,Data Analytics Corse,176.0,5509.0,234.59,19.0,7.0,0.054,1710.0,,Hyderabad,Tablet,data analytics course
A1035,Data Analytics Course,104.0,5275.0,236.48,16.0,9.0,0.031,1824.0,,Hyderabad,Desktop,data anaytics training
A1036,Data Analytics Course,146.0,5939.0,242.9,11.0,8.0,0.035,1833.0,2024-11-07,Hyderabad,Desktop,data anaytics training
A1038,Data Analytics Course,90.0,5786.0,197.55,11.0,6.0,0.043,1704.0,,Hyderabad,Mobile,online data analytic
A1039,Data Analytics Course,171.0,4304.0,192.61,17.0,10.0,0.058,1427.0,2024-11-26,Hyderabad,Mobile,learn data analytics
A1040,Data Analytics Corse,94.0,5549.0,231.23,25.0,9.0,0.096,1849.0,,Hyderabad,Mobile,data anaytics training
A1041,Data Analytics Corse,112.0,4271.0,196.07,27.0,6.0,0.05357142857142857,1209.0,2024-11-14,Hyderabad,Desktop,data analitics online
A1042,Data Analytics Course,113.0,4418.0,191.55,27.0,10.0,0.08849557522123894,1634.0,,Hyderabad,Mobile,data analytics course
A1043,Data Analytics Course,145.0,3721.0,180.95,21.0,7.0,0.048,1960.0,,Hyderabad,Desktop,data analitics online
A1044,Data Analytics Course,197.0,5783.0,204.46,23.0,6.0,0.030456852791878174,1729.0,,Hyderabad,Tablet,data anaytics training
A1045,Data Analytics Course,109.0,4866.0,236.78,27.0,5.0,0.045871559633027525,1585.0,,Hyderabad,Mobile,online data analytic
A1046,Data Analytics Course,188.0,5857.0,222.98,20.0,4.0,0.048,1303.0,,Hyderabad,Desktop,data anaytics training
A1047,Data Analytics Corse,142.0,5103.0,234.1,24.0,3.0,0.021,1835.0,2024-11-08,Hyderabad,Mobile,analytics for data
A1048,Data Analytics Course,168.0,4653.0,240.84,27.0,9.0,0.054,1367.0,2024-11-24,Hyderabad,Mobile,online data analytic
A1049,Data Analytics Course,110.0,3524.0,248.86,19.0,10.0,0.091,1524.0,,Hyderabad,Mobile,learn data analytics
A1050,Data Analytics Course,192.0,5938.0,182.84,26.0,5.0,0.039,1080.0,,Hyderabad,Mobile,analytics for data
A1051,Data Analytics Corse,101.0,3942.0,206.62,16.0,5.0,0.05,1746.0,2024-11-24,Hyderabad,Tablet,analytics for data
A1052,Data Analytics Corse,157.0,3315.0,189.56,15.0,10.0,0.064,1026.0,2024-11-25,Hyderabad,Mobile,online data analytic
A1053,Data Analytics Course,113.0,4945.0,187.66,15.0,10.0,0.08849557522123894,1564.0,,Hyderabad,Tablet,learn data analytics
A1054,Data Analytics Course,96.0,3166.0,196.15,29.0,7.0,0.073,1902.0,,Hyderabad,Desktop,learn data analytics
A1055,Data Analytics Course,125.0,4223.0,183.68,15.0,6.0,0.048,1267.0,2024-11-05,Hyderabad,Desktop,data analitics online
A1056,Data Analytics Course,104.0,4798.0,210.1,18.0,3.0,0.028846153846153848,1340.0,,Hyderabad,Desktop,analytics for data
A1057,Data Analytics Course,194.0,5655.0,208.58,13.0,6.0,0.031,1692.0,2024-11-16,Hyderabad,Mobile,data anaytics training
A1058,Data Analytics Course,144.0,5140.0,219.48,19.0,8.0,0.047,1054.0,,Hyderabad,Desktop,data analitics online
A1060,Data Analytics Corse,166.0,5223.0,189.76,18.0,7.0,0.042,1219.0,,Hyderabad,Tablet,data analytics course
A1062,Data Analytics Course,118.0,5016.0,204.31,19.0,9.0,0.045,1833.0,,Hyderabad,Desktop,analytics for data
A1063,Data Analytics Course,185.0,3617.0,222.32,24.0,7.0,0.038,1963.0,,Hyderabad,Mobile,data analytics course
A1064,Data Analytics Course,116.0,3764.0,232.03,28.0,10.0,0.086,1348.0,,Hyderabad,Tablet,data analytics course
A1065,Data Analytics Corse,99.0,4489.0,183.73,15.0,6.0,0.061,1264.0,2024-11-05,Hyderabad,Desktop,online data analytic
A1066,Data Analytics Course,172.0,4441.0,221.18,14.0,8.0,0.047,1771.0,,Hyderabad,Mobile,analytics for data
A1067,Data Analytics Course,138.0,5751.0,199.11,26.0,9.0,0.052,1337.0,2024-11-10,Hyderabad,Desktop,data analitics online
A1068,Data Analytics Course,84.0,4036.0,234.22,23.0,10.0,0.119,1287.0,,Hyderabad,Desktop,learn data analytics
A1069,Data Analytics Course,124.0,4942.0,240.59,18.0,3.0,0.024,1922.0,2024-11-16,Hyderabad,Desktop,learn data analytics
A1070,Data Analytics Course,122.0,4989.0,215.48,12.0,5.0,0.041,1975.0,,Hyderabad,Mobile,data analitics online
A1071,Data Analytics Corse,180.0,3006.0,228.14,22.0,7.0,0.039,1556.0,2024-11-04,Hyderabad,Tablet,learn data analytics
A1073,Data Analytics Course,164.0,3734.0,225.39,27.0,8.0,0.04,1728.0,,Hyderabad,Tablet,learn data analytics
A1074,Data Analytics Corse,150.0,4621.0,246.3,15.0,6.0,0.049,1554.0,2024-11-09,Hyderabad,Desktop,data analitics online
A1075,Data Analytics Course,97.0,3212.0,212.55,27.0,10.0,0.103,1994.0,,Hyderabad,Desktop,analytics for data
A1076,Data Analytics Course,128.0,4225.0,228.24,30.0,4.0,0.031,1618.0,,Hyderabad,Mobile,learn data analytics
A1077,Data Analytics Corse,99.0,4779.0,233.78,26.0,10.0,0.101,1086.0,2024-11-05,Hyderabad,Desktop,online data analytic
A1078,Data Analytics Course,86.0,5352.0,234.05,11.0,5.0,0.058,1364.0,2024-11-09,Hyderabad,Tablet,online data analytic
A1079,Data Analytics Course,118.0,5405.0,187.28,25.0,7.0,0.058,1836.0,2024-11-05,Hyderabad,Tablet,analytics for data
A1080,Data Analytics Course,127.0,5430.0,199.13,14.0,6.0,0.047,1932.0,,Hyderabad,Mobile,analytics for data
A1081,Data Analytics Corse,83.0,4808.0,241.35,20.0,7.0,0.084,1038.0,,Hyderabad,Mobile,learn data analytics
A1083,Data Analytics Course,168.0,4683.0,215.28,30.0,8.0,0.048,1327.0,,Hyderabad,Mobile,data analitics online
A1084,Data Analytics Course,112.0,5814.0,227.38,11.0,8.0,0.071,1467.0,2024-11-03,Hyderabad,Tablet,analytics for data
A1085,Data Analytics Course,123.0,3292.0,233.2,28.0,6.0,0.049,1174.0,2024-11-19,Hyderabad,Desktop,data anaytics training
A1086,Data Analytics Course,174.0,4305.0,206.02,20.0,3.0,0.034,1057.0,,Hyderabad,Desktop,learn data analytics
A1088,Data Analytics Course,195.0,5935.0,209.68,23.0,9.0,0.046,1966.0,2024-11-07,Hyderabad,Tablet,online data analytic
A1089,Data Analytics Course,176.0,5847.0,241.04,13.0,6.0,0.034,1194.0,2024-11-02,Hyderabad,Desktop,online data analytic
A1090,Data Analytics Course,141.0,4851.0,227.39,28.0,5.0,0.03546099290780142,1821.0,,Hyderabad,Desktop,analytics for data
A1091,Data Analytics Corse,108.0,4710.0,204.16,19.0,10.0,0.093,1731.0,,Hyderabad,Tablet,data analitics online
A1093,Data Analytics Course,,5903.0,184.41,23.0,9.0,,1188.0,,Hyderabad,Tablet,online data analytic
A1094,Data Analytics Course,145.0,5004.0,216.45,22.0,5.0,0.034,1496.0,2024-11-01,Hyderabad,Tablet,data analitics online
A1095,Data Analytics Course,183.0,3947.0,197.3,15.0,8.0,0.044,1645.0,2024-11-14,Hyderabad,Desktop,data anaytics training
A1096,Data Analytics Course,113.0,3690.0,229.42,20.0,5.0,0.044,1915.0,2024-11-28,Hyderabad,Tablet,learn data analytics
A1097,Data Analytics Course,101.0,5943.0,187.32,27.0,6.0,0.059,1614.0,2024-11-15,Hyderabad,Tablet,data analitics online
A1098,Data Analytics Course,189.0,5357.0,222.5,24.0,3.0,0.05,1839.0,2024-11-25,Hyderabad,Tablet,data analytics course
A1099,Data Analytics Course,154.0,3596.0,236.14,30.0,9.0,0.058,1036.0,,Hyderabad,Tablet,online data analytic
A1100,Data Analytics Course,179.0,5162.0,246.76,16.0,5.0,0.05,1052.0,2024-11-29,Hyderabad,Desktop,online data analytic
A1101,Data Analytics Corse,148.0,3747.0,244.41,18.0,8.0,0.054,1092.0,,Hyderabad,Tablet,learn data analytics
A1102,Data Analytics Course,177.0,4822.0,197.03,26.0,9.0,0.051,1909.0,2024-11-04,Hyderabad,Mobile,online data analytic
A1105,Data Analytics Course,146.0,4765.0,230.22,23.0,5.0,0.034,1944.0,,Hyderabad,Tablet,analytics for data
A1107,Data Analytics Course,159.0,5127.0,197.16,21.0,4.0,0.025,1867.0,2024-11-03,Hyderabad,Tablet,learn data analytics
A1108,Data Analytics Course,144.0,5674.0,235.36,12.0,3.0,0.021,1505.0,2024-11-22,Hyderabad,Desktop,analytics for data
A1109,Data Analytics Course,122.0,3793.0,237.22,19.0,8.0,0.066,1842.0,2024-11-20,Hyderabad,Tablet,online data analytic
A1110,Data Analytics Corse,112.0,4315.0,235.33,28.0,9.0,0.08,1116.0,,Hyderabad,Mobile,data analytics course
A1111,Data Analytics Course,174.0,4704.0,192.32,21.0,10.0,0.049,1501.0,,Hyderabad,Mobile,learn data analytics
A1112,Data Analytics Corse,168.0,3349.0,235.6,23.0,9.0,0.054,1894.0,2024-11-09,Hyderabad,Mobile,online data analytic
A1113,Data Analytics Course,173.0,3501.0,223.9,28.0,10.0,0.044,1179.0,,Hyderabad,Mobile,data analytics course
A1114,Data Analytics Corse,91.0,,203.52,,9.0,0.099,1838.0,,Hyderabad,Desktop,data analytics course
A1115,Data Analytics Course,140.0,5405.0,195.69,21.0,8.0,0.05714285714285714,1094.0,,Hyderabad,Desktop,data anaytics training
A1116,Data Analytics Course,93.0,3425.0,229.76,26.0,4.0,0.043,1344.0,,Hyderabad,Mobile,online data analytic
A1117,Data Analytics Course,114.0,5263.0,189.13,23.0,5.0,0.044,1434.0,,Hyderabad,Mobile,data analytics course
A1119,Data Analytics Course,188.0,3327.0,193.76,24.0,6.0,0.047,1220.0,,Hyderabad,Tablet,online data analytic
A1120,Data Analytics Course,117.0,,214.18,29.0,4.0,0.034,1348.0,,Hyderabad,Mobile,learn data analytics
A1121,Data Analytics Course,113.0,5471.0,215.57,27.0,9.0,0.038,1123.0,2024-11-23,Hyderabad,Mobile,analytics for data
A1122,Data Analytics Corse,109.0,3550.0,240.33,14.0,8.0,0.073,1982.0,2024-11-24,Hyderabad,Tablet,learn data analytics
A1123,Data Analytics Course,174.0,3178.0,225.67,18.0,10.0,0.057,1140.0,,Hyderabad,Desktop,data analitics online
A1124,Data Analytics Course,96.0,4673.0,192.88,24.0,5.0,0.052,1962.0,2024-11-10,Hyderabad,Mobile,learn data analytics
A1125,Data Analytics Course,110.0,4254.0,187.87,11.0,4.0,0.03636363636363636,1172.0,2024-11-04,Hyderabad,Mobile,data anaytics training
A1126,Data Analytics Course,163.0,3658.0,237.63,23.0,7.0,0.043,1699.0,2024-11-23,Hyderabad,Tablet,online data analytic
A1127,Data Analytics Course,161.0,5319.0,235.98,13.0,4.0,0.025,1423.0,2024-11-18,Hyderabad,Mobile,learn data analytics
A1128,Data Analytics Course,195.0,5278.0,193.49,30.0,7.0,0.047,1456.0,,Hyderabad,Mobile,data analytics course
A1129,Data Analytics Course,84.0,3755.0,218.88,14.0,9.0,0.047,1299.0,,Hyderabad,Tablet,analytics for data
A1130,Data Analytics Course,113.0,4580.0,194.82,11.0,6.0,0.059,1248.0,,Hyderabad,Tablet,data analytics course
A1131,Data Analytics Corse,117.0,3809.0,225.14,12.0,5.0,0.032,1495.0,2024-11-09,Hyderabad,Desktop,data anaytics training
A1132,Data Analytics Course,135.0,5118.0,219.99,27.0,6.0,0.044,1089.0,2024-11-20,Hyderabad,Mobile,online data analytic
A1133,Data Analytics Course,92.0,5766.0,186.14,28.0,7.0,0.076,1013.0,,Hyderabad,Tablet,data anaytics training
A1135,Data Analytics Course,101.0,4724.0,228.38,13.0,7.0,0.034,1243.0,2024-11-20,Hyderabad,Desktop,learn data analytics
A1136,Data Analytics Course,111.0,5895.0,205.25,29.0,4.0,0.036,1693.0,2024-11-04,Hyderabad,Mobile,data analytics course
A1138,Data Analytics Course,99.0,3169.0,237.68,21.0,6.0,0.06060606060606061,1509.0,2024-11-22,Hyderabad,Mobile,online data analytic
A1139,Data Analytics Course,154.0,4535.0,229.29,11.0,3.0,0.019,1434.0,,Hyderabad,Tablet,data anaytics training
A1140,Data Analytics Course,129.0,3849.0,249.29,22.0,10.0,0.078,1767.0,,Hyderabad,Desktop,analytics for data
A1141,Data Analytics Course,,4259.0,182.98,10.0,10.0,0.031,1048.0,,Hyderabad,Mobile,analytics for data
A1144,Data Analytics Course,134.0,3724.0,188.02,26.0,9.0,0.047,1891.0,,Hyderabad,Desktop,online data analytic
A1145,Data Analytics Course,174.0,4838.0,242.35,21.0,3.0,0.017,1599.0,2024-11-22,Hyderabad,Desktop,data analitics online
A1146,Data Analytics Corse,196.0,4524.0,192.01,15.0,8.0,0.041,1048.0,2024-11-13,Hyderabad,Desktop,data analytics course
A1147,Data Analytics Corse,194.0,4694.0,228.15,17.0,7.0,0.036,1874.0,2024-11-14,Hyderabad,Tablet,learn data analytics
A1149,Data Analytics Course,100.0,4235.0,222.61,10.0,8.0,0.051,1814.0,,Hyderabad,Desktop,data anaytics training
A1150,Data Analytics Course,153.0,4367.0,184.51,29.0,9.0,0.059,1507.0,2024-11-13,Hyderabad,Mobile,analytics for data
A1151,Data Analytics Course,110.0,3748.0,198.68,24.0,9.0,0.082,1041.0,,Hyderabad,Tablet,data anaytics training
A1153,Data Analytics Corse,156.0,3335.0,236.98,29.0,7.0,0.045,1143.0,2024-11-14,Hyderabad,Desktop,data analytics course
A1154,Data Analytics Corse,177.0,5671.0,210.74,19.0,6.0,0.058,1172.0,,Hyderabad,Tablet,data analytics course
A1155,Data Analytics Course,89.0,3408.0,214.78,25.0,9.0,0.101,1898.0,,Hyderabad,Mobile,data analytics course
A1156,Data Analytics Course,155.0,4422.0,183.96,14.0,8.0,0.037,1143.0,,Hyderabad,Mobile,analytics for data
A1157,Data Analytics Course,123.0,3097.0,190.55,20.0,8.0,0.065,1640.0,,Hyderabad,Tablet,data analytics course
A1158,Data Analytics Corse,102.0,3621.0,244.82,10.0,5.0,0.049,1375.0,,Hyderabad,Mobile,learn data analytics
A1159,Data Analytics Corse,150.0,4806.0,244.53,15.0,9.0,0.06,1602.0,,Hyderabad,Mobile,data analitics online
A1161,Data Analytics Course,143.0,3901.0,191.38,29.0,4.0,0.053,1786.0,2024-11-24,Hyderabad,Mobile,learn data analytics
A1162,Data Analytics Course,178.0,4673.0,222.46,29.0,6.0,0.051,1219.0,,Hyderabad,Tablet,online data analytic
A1163,Data Analytics Course,152.0,3542.0,208.96,13.0,9.0,0.05921052631578947,1735.0,,Hyderabad,Desktop,data analytics course
A1164,Data Analytics Course,139.0,4347.0,238.19,26.0,5.0,0.03597122302158273,1384.0,,Hyderabad,Tablet,analytics for data
A1165,Data Analytics Course,175.0,5014.0,247.24,25.0,7.0,0.04,1499.0,,Hyderabad,Mobile,learn data analytics
A1166,Data Analytics Corse,92.0,4185.0,218.46,21.0,9.0,0.035,1567.0,,Hyderabad,Mobile,data analitics online
A1168,Data Analytics Course,86.0,5124.0,183.71,13.0,10.0,0.116,1137.0,,Hyderabad,Mobile,data anaytics training
A1169,Data Analytics Course,117.0,4162.0,238.08,28.0,10.0,0.085,1186.0,,Hyderabad,Mobile,online data analytic
A1170,Data Analytics Course,146.0,4330.0,191.9,20.0,3.0,0.021,1748.0,,Hyderabad,Mobile,online data analytic
A1172,Data Analytics Course,195.0,3483.0,213.99,27.0,7.0,0.036,1796.0,,Hyderabad,Desktop,learn data analytics
A1173,Data Analytics Course,170.0,4519.0,240.63,22.0,7.0,0.041,1012.0,,Hyderabad,Mobile,analytics for data
A1174,Data Analytics Course,97.0,3605.0,240.29,21.0,7.0,0.045,1682.0,2024-11-10,Hyderabad,Desktop,data analitics online
A1175,Data Analytics Course,159.0,5076.0,204.97,15.0,10.0,0.063,1638.0,,Hyderabad,Tablet,data analytics course
A1176,Data Analytics Course,131.0,5352.0,225.86,24.0,10.0,0.07633587786259542,1961.0,2024-11-20,Hyderabad,Mobile,online data analytic
A1177,Data Analytics Corse,108.0,5503.0,185.26,11.0,7.0,0.065,1921.0,,Hyderabad,Mobile,data analitics online
A1178,Data Analytics Course,93.0,4308.0,209.83,19.0,9.0,0.097,1694.0,2024-11-20,Hyderabad,Mobile,data analytics course
A1180,Data Analytics Corse,81.0,5615.0,193.14,30.0,6.0,0.074,1255.0,,Hyderabad,Mobile,analytics for data
A1181,Data Analytics Course,160.0,4743.0,206.22,23.0,10.0,0.062,1825.0,,Hyderabad,Mobile,learn data analytics
A1182,Data Analytics Course,186.0,3337.0,183.58,16.0,8.0,0.043,1045.0,2024-11-30,Hyderabad,Desktop,online data analytic
A1183,Data Analytics Course,105.0,3234.0,238.8,27.0,10.0,0.095,1248.0,,Hyderabad,Desktop,online data analytic
A1184,Data Analytics Course,131.0,3913.0,203.69,14.0,10.0,0.07633587786259542,1079.0,,Hyderabad,Desktop,data anaytics training
A1185,Data Analytics Course,129.0,3208.0,204.2,18.0,8.0,0.032,1456.0,2024-11-29,Hyderabad,Desktop,learn data analytics
A1186,Data Analytics Course,187.0,5972.0,220.64,30.0,7.0,0.037,1980.0,2024-11-14,Hyderabad,Desktop,data analytics course
A1187,Data Analytics Corse,167.0,3662.0,235.43,10.0,7.0,0.042,1684.0,2024-11-25,Hyderabad,Mobile,data anaytics training
A1188,Data Analytics Course,140.0,3359.0,182.13,29.0,7.0,0.045,1973.0,,Hyderabad,Desktop,data analitics online
A1189,Data Analytics Corse,198.0,3700.0,220.67,14.0,5.0,0.025252525252525252,1531.0,,Hyderabad,Mobile,analytics for data
A1190,Data Analytics Course,196.0,3835.0,218.07,10.0,9.0,0.041,1871.0,,Hyderabad,Tablet,online data analytic
A1191,Data Analytics Corse,140.0,5638.0,208.02,22.0,5.0,0.03571428571428571,1652.0,2024-11-18,Hyderabad,Desktop,data anaytics training
A1192,Data Analytics Corse,157.0,5825.0,230.6,16.0,3.0,0.019,1041.0,2024-11-16,Hyderabad,Desktop,data anaytics training
A1193,Data Analytics Corse,91.0,5428.0,248.38,11.0,3.0,0.033,1835.0,,Hyderabad,Tablet,learn data analytics
A1194,Data Analytics Course,140.0,3571.0,238.12,21.0,9.0,0.064,1762.0,,Hyderabad,Desktop,learn data analytics
A1195,Data Analytics Course,154.0,3638.0,182.17,11.0,8.0,0.056,1413.0,2024-11-04,Hyderabad,Mobile,online data analytic
A1196,Data Analytics Course,133.0,4505.0,200.52,23.0,3.0,0.039,1562.0,,Hyderabad,Tablet,analytics for data
A1197,Data Analytics Course,,5016.0,238.59,26.0,9.0,,1620.0,2024-11-20,Hyderabad,Mobile,data analitics online
A1198,Data Analytics Course,141.0,3071.0,208.2,10.0,6.0,0.043,1647.0,,Hyderabad,Tablet,data analitics online
A1200,Data Analytics Corse,199.0,5067.0,247.38,24.0,8.0,0.059,1365.0,,Hyderabad,Mobile,analytics for data
A1201,Data Analytics Course,138.0,3971.0,184.87,28.0,3.0,0.022,1718.0,2024-11-07,Hyderabad,Tablet,learn data analytics
A1202,Data Analytics Course,175.0,4481.0,236.38,21.0,10.0,0.057,1257.0,,Hyderabad,Desktop,data analytics course
A1203,Data Analytics Course,170.0,5476.0,186.29,25.0,4.0,0.024,1731.0,,Hyderabad,Mobile,analytics for data
A1204,Data Analytics Course,138.0,4426.0,203.75,24.0,10.0,0.072,1838.0,2024-11-05,Hyderabad,Mobile,data analytics course
A1205,Data Analytics Course,108.0,4080.0,247.8,18.0,4.0,0.037,1363.0,2024-11-30,Hyderabad,Tablet,online data analytic
A1206,Data Analytics Course,150.0,4113.0,219.67,12.0,7.0,0.047,1196.0,2024-11-22,Hyderabad,Mobile,learn data analytics
A1207,Data Analytics Course,90.0,5119.0,226.58,14.0,10.0,0.111,1348.0,,Hyderabad,Desktop,analytics for data
A1208,Data Analytics Corse,98.0,3422.0,223.55,17.0,7.0,0.07142857142857142,1414.0,2024-11-19,Hyderabad,Tablet,online data analytic
A1209,Data Analytics Course,130.0,3327.0,224.83,13.0,3.0,0.023,1668.0,,Hyderabad,Mobile,online data analytic
A1210,Data Analytics Course,199.0,,199.98,15.0,8.0,0.04,1467.0,2024-11-08,Hyderabad,Tablet,data anaytics training
A1214,Data Analytics Course,183.0,4001.0,237.85,23.0,4.0,0.022,1430.0,,Hyderabad,Mobile,online data analytic
A1215,Data Analytics Course,126.0,4206.0,233.76,29.0,10.0,0.041,1998.0,2024-11-06,Hyderabad,Tablet,online data analytic
A1217,Data Analytics Course,92.0,4042.0,200.75,15.0,7.0,0.076,1234.0,2024-11-24,Hyderabad,Tablet,learn data analytics
A1218,Data Analytics Course,,4883.0,249.61,10.0,3.0,,1464.0,2024-11-12,Hyderabad,Tablet,online data analytic
A1219,Data Analytics Course,92.0,3748.0,208.15,14.0,8.0,0.087,1297.0,,Hyderabad,Desktop,analytics for data
A1220,Data Analytics Course,135.0,3480.0,224.94,11.0,4.0,0.03,1398.0,2024-11-23,Hyderabad,Tablet,data analitics online
A1221,Data Analytics Course,177.0,3007.0,223.22,30.0,8.0,0.045,1766.0,,Hyderabad,Mobile,data analitics online
A1222,Data Analytics Corse,117.0,3380.0,186.73,21.0,10.0,0.055,1958.0,2024-11-19,Hyderabad,Desktop,data anaytics training
A1223,Data Analytics Course,127.0,4823.0,194.69,11.0,10.0,0.057,1496.0,,Hyderabad,Desktop,data analytics course
A1224,Data Analytics Course,132.0,4490.0,202.45,10.0,7.0,0.053,1441.0,2024-11-10,Hyderabad,Mobile,data analitics online
A1225,Data Analytics Course,102.0,5149.0,229.48,27.0,9.0,0.088,1137.0,,Hyderabad,Desktop,learn data analytics
A1226,Data Analytics Course,91.0,4290.0,213.74,,10.0,0.10989010989010989,1797.0,,Hyderabad,Mobile,online data analytic
A1227,Data Analytics Course,163.0,5643.0,217.4,30.0,6.0,0.03680981595092025,1678.0,2024-11-01,Hyderabad,Desktop,data analitics online
A1228,Data Analytics Corse,92.0,3916.0,188.1,,6.0,0.065,1005.0,,Hyderabad,Desktop,online data analytic
A1230,Data Analytics Corse,127.0,3344.0,201.7,10.0,8.0,0.06299212598425197,1190.0,,Hyderabad,Desktop,analytics for data
A1231,Data Analytics Corse,178.0,4441.0,231.97,22.0,4.0,0.022,1886.0,,Hyderabad,Mobile,analytics for data
A1232,Data Analytics Course,101.0,,234.17,29.0,5.0,0.05,1568.0,2024-11-27,Hyderabad,Mobile,data anaytics training
A1234,Data Analytics Course,95.0,4562.0,187.62,24.0,9.0,0.095,1239.0,2024-11-26,Hyderabad,Desktop,data anaytics training
A1235,Data Analytics Course,85.0,5099.0,232.56,28.0,9.0,0.10588235294117647,1526.0,,Hyderabad,Mobile,data anaytics training
A1236,Data Analytics Corse,192.0,5852.0,181.05,16.0,8.0,0.042,1600.0,2024-11-21,Hyderabad,Desktop,analytics for data
A1237,Data Analytics Course,80.0,3823.0,181.57,13.0,4.0,0.05,1564.0,,Hyderabad,Desktop,online data analytic
A1238,Data Analytics Course,191.0,4612.0,238.23,20.0,10.0,0.052,1531.0,,Hyderabad,Mobile,learn data analytics
A1239,Data Analytics Course,147.0,5881.0,196.34,23.0,7.0,0.048,1614.0,,Hyderabad,Desktop,data anaytics training
A1240,Data Analytics Corse,100.0,5204.0,197.53,26.0,4.0,0.04,1675.0,,Hyderabad,Tablet,data analytics course
A1242,Data Analytics Course,123.0,5231.0,202.93,30.0,10.0,0.081,1551.0,2024-11-23,Hyderabad,Desktop,online data analytic
A1243,Data Analytics Course,165.0,5980.0,248.41,17.0,3.0,0.018,1803.0,,Hyderabad,Tablet,online data analytic
A1244,Data Analytics Course,167.0,3202.0,214.87,26.0,6.0,0.036,1571.0,,Hyderabad,Desktop,data analitics online
